PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-04-11,18:38:21,3,1,"Schmitz, Paul",812367,Right,HOU_COU,"West, Kyle",823918,Left,WES_MOU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.62045,-2.82216,-1.374484,2319.176502,195.753299,12:30,6.38797,1.74093,6.29879,-16.53906,17.97914,4.73992,2.40648,0.8692,81.52102,-5.993978,-0.517251,0.422859,,,,,,,,,,,,-2.85988,10.52229,-1.64201,50,6.1722,2.92537,-130.00829,-6.84533,-4.8616,28.9792,-14.28689,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,0da818a0-172e-11f0-b3ec-b7b50aa593bb,89.13714,,,8.09943,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:38:21,2025-04-11T18:38:20.5929984-05:00,2025-04-11T23:38:20.5929984Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,cd6e84fb-a272-42c4-86f3-5c1034d85212,54.19976,-130.94109,14.4896,6.38514,-6.38546,-7.14345,-1.73869,3.08186,-2.4308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-04-11,18:38:35,3,2,"Schmitz, Paul",812367,Right,HOU_COU,"West, Kyle",823918,Left,WES_MOU,Undefined,1,Top,0,0,1,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.48913,-2.954264,-2.18821,1790.929699,220.301677,1:15,6.39966,1.58256,6.06141,-21.39316,15.04906,11.74449,1.87813,0.53497,79.98856,-6.977695,-0.073568,0.434484,99.0605,26.010654,-39.199101,3800.750288,80.65822,46.96349,-74.79471,304.69258,223.99904,-49.379391,3.9954,-6.71016,8.97245,-1.41898,50,6.15853,4.37977,-126.88771,-7.19369,-10.90651,26.70237,-17.59047,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,165132c0-172e-11f0-b3ec-b7b50aa593bb,86.75218,58.77445,,7.50057,,,,1.10502,1.96399,-0.51536,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:38:35,2025-04-11T18:38:35.0182912-05:00,2025-04-11T23:38:35.0182912Z,FlyBall,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,195e667a-50fd-4b0f-a588-04ed761f61ed,54.43972,-127.8186,13.35118,6.39863,-6.58046,-8.79523,-1.57829,4.75998,-5.45325,,1.10543,101.17395,-27.49874,7.31624,-1.68511,0.34159,-0.05997,0.00698,-0.00034,1.96406,63.7144,-19.8894,1.29959,-0.10016,-0.0121,0.00595,-0.00039,-3.00E-05,-0.51449,-82.5484,9.13161,-1.03215,0.18115,-0.07976,0.02579,-0.00405,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-04-11,18:39:01,3,3,"Schmitz, Paul",812367,Right,HOU_COU,"West, Kyle",823918,Left,WES_MOU,Undefined,1,Top,0,0,2,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.40127,-2.681563,-2.21039,1579.602787,223.226229,1:30,6.39199,1.41846,6.1089,-27.16092,7.44449,6.00926,1.6452,-0.1258,82.40528,-7.71257,-1.126835,0.423393,,,,,,,,,,,,-3.72288,4.87595,-1.25184,50,6.17139,4.7704,-129.78944,-6.97725,-6.37153,26.31684,-23.82912,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,258716b0-172e-11f0-b3ec-b7b50aa593bb,89.02477,,,6.99599,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:39:01,2025-04-11T18:39:00.6566912-05:00,2025-04-11T23:39:00.6566912Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,0c9da86b-879e-4428-a8b6-55e3647854fc,54.39347,-130.67724,13.15842,6.39322,-6.17337,-11.91456,-1.4164,4.98534,-3.18576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-04-11,18:39:31,3,4,"Schmitz, Paul",812367,Right,HOU_COU,"West, Kyle",823918,Left,WES_MOU,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.01824,1.003016,-1.811274,2266.715532,192.366547,12:30,6.47551,1.44318,6.31754,-14.47158,17.52599,3.60961,6.19396,0.07508,84.19409,-1.806233,-1.158891,0.407127,,,,,,,,,,,,-2.39138,9.07835,-1.31211,50,6.54156,4.11179,-135.01406,1.99978,-4.38243,31.36903,-15.53718,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,376473f0-172e-11f0-b3ec-b7b50aa593bb,92.58147,,,8.82415,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:39:31,2025-04-11T18:39:30.8251648-05:00,2025-04-11T23:39:30.8251648Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,88d1c4b2-85f7-47d2-af2f-30a93cb3c5e7,54.17917,-135.98158,15.68451,6.47249,2.479,-7.76859,-1.44101,4.24696,-2.19122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-04-11,18:39:56,3,5,"Schmitz, Paul",812367,Right,HOU_COU,"West, Kyle",823918,Left,WES_MOU,Undefined,1,Top,0,1,2,Splitter,Changeup,BallCalled,Undefined,Undefined,CaughtStealing,1,0,,88.94427,-0.863324,-0.657428,1648.334411,228.347704,1:30,6.44549,1.36474,5.96885,-23.37706,11.8843,12.08615,3.69683,1.76234,81.20528,-5.247535,1.515844,0.427387,,,,,,,,,,,,-6.36831,6.69241,-1.3192,50,6.36408,0.97232,-129.19938,-2.69705,-10.73569,27.58515,-20.89201,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,46527970-172e-11f0-b3ec-b7b50aa593bb,88.19285,,,7.73899,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-11,23:39:56,2025-04-11T18:39:55.6790000-05:00,2025-04-11T23:39:55.6790000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,bd757ef9-9965-44ab-a87e-fd4b3871c7a6,54.5309,-130.16317,13.79258,6.44556,-1.96711,-10.44601,-1.35972,1.34741,-5.36784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.61338,2.52795,1.304781,1.223169,-1.75277,3.39733,-1.84981,0.44704,5.58831,-1.00215,127.29423,5.30647,0.1781,0.58144,117.27124,-11.3543,5.59011,13.2891,-11.06169,-1.05904,-3.17751,3.49556,High,High,High,,,High,High,Medium
