PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2025-04-11,19:23:37,1,5,"Kirn, Griffin",822488,Left,WES_MOU,"Climie, Cade",702691,Right,HOU_COU,Undefined,3,Bottom,0,3,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,79.43365,1.193832,3.521541,2760.182062,228.14382,1:30,5.0877,-3.79269,5.1133,-41.2775,5.2813,3.99681,2.77491,-0.13777,71.56614,-6.36645,4.225899,0.491103,99.9125,38.88922,-24.745694,4272.212857,100.13787,91.44358,-45.52348,339.2895,181.05681,-25.365499,6.131755,-0.82728,2.68512,3.45734,50,5.16849,-7.23083,-114.82082,0.96957,-1.08414,24.90157,-28.65524,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,60b97330-1734-11f0-b3ec-b7b50aa593bb,76.7506,132.89229,,7.86751,,,,2.52169,4.39378,0.10083,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:23:37,2025-04-11T19:23:36.9200000-05:00,2025-04-12T00:23:36.9200000Z,FlyBall,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Sauve, Logan",702524,Right,WES_MOU,9636440d-61db-497f-bd15-017988590dd9,55.38557,-115.98292,12.45078,5.09204,2.30686,-14.32762,3.79361,-7.18024,-0.54207,178.379106,2.52873,103.45881,-26.1662,6.47433,-1.04574,0.08918,-0.00041,-0.00049,2.00E-05,4.39233,92.01667,-17.84983,0.32042,0.18889,-0.08852,0.02096,-0.00249,0.00011,0.0976,-47.68674,11.44557,-2.77572,0.43682,-0.0349,-0.00026,0.00023,-1.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2025-04-11,19:24:19,2,1,"Kirn, Griffin",822488,Left,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,3,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.97858,-0.578961,5.298046,2334.389364,140.025668,10:45,5.41591,-3.41469,5.22757,-17.99493,18.04721,-14.04044,3.36969,0.41027,81.02053,-3.981151,2.825813,0.432092,,,,,,,,,,,,8.56099,9.51941,2.93566,50,5.34943,-11.37117,-129.85967,-1.90231,14.46916,29.79302,-16.08507,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,796de9b0-1734-11f0-b3ec-b7b50aa593bb,87.23236,,,8.95805,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:24:19,2025-04-11T19:24:18.5520000-05:00,2025-04-12T00:24:18.5520000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Sauve, Logan",702524,Right,WES_MOU,233d72f8-874d-4131-b889-3f996d689934,55.26947,-131.06304,14.89651,5.41315,-1.25261,-8.04253,3.40676,-11.95559,7.23458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2025-04-11,19:24:37,2,2,"Kirn, Griffin",822488,Left,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,3,Bottom,1,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.92997,-1.338207,4.764463,2090.813094,134.155455,10:30,5.29864,-3.4964,5.41227,-19.32521,17.04257,-16.26899,2.42988,-0.37806,80.67398,-4.974463,1.884392,0.43404,70.15041,41.034923,138.382994,3729.944487,-86.58821,49.11693,67.84148,209.36477,62.36181,143.110136,3.147484,9.59489,9.32544,3.08355,50,5.16612,-9.99343,-128.59713,-3.64659,15.98643,27.92048,-16.63653,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,84368870-1734-11f0-b3ec-b7b50aa593bb,86.84096,49.19868,,8.25599,,,,1.12444,2.27654,0.27885,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:24:37,2025-04-11T19:24:36.5150000-05:00,2025-04-12T00:24:36.5150000Z,FlyBall,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Sauve, Logan",702524,Right,WES_MOU,54465289-4d60-4960-96b6-57eaa55b136d,55.08839,-129.69719,13.96024,5.29688,-2.99112,-8.31826,3.4897,-10.62329,7.99322,327.418644,1.12461,-58.02562,0.17567,0.84186,-0.33168,0.14708,-0.06035,0.01523,-0.00153,2.27627,67.55795,-28.21638,3.70064,-1.01439,0.34762,-0.1058,0.0185,-0.00128,0.27865,51.55208,-7.78854,2.45272,-0.84797,0.37173,-0.12867,0.0247,-0.0019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2025-04-11,19:24:58,2,3,"Kirn, Griffin",822488,Left,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,3,Bottom,1,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.96358,-1.085775,4.694438,2066.146651,122.362231,10:00,5.38132,-3.43656,5.25561,-22.90793,12.55414,-18.03158,2.44855,-0.51829,82.25058,-5.323237,1.509736,0.428601,,,,,,,,,,,,10.29965,6.90363,3.01924,50,5.26472,-9.86848,-130.20666,-3.30879,17.73588,26.55761,-20.28611,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,911ed2e0-1734-11f0-b3ec-b7b50aa593bb,87.94292,,,7.713,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:24:58,2025-04-11T19:24:58.1420000-05:00,2025-04-12T00:24:58.1420000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Sauve, Logan",702524,Right,WES_MOU,c52919cf-468c-40e7-9642-78a159b7dc5b,55.2463,-131.27236,13.27881,5.38116,-2.49475,-10.14305,3.42952,-10.58018,8.86794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2025-04-11,19:25:20,2,4,"Kirn, Griffin",822488,Left,WES_MOU,"Cox, Tyler",831690,Right,HOU_COU,Undefined,3,Bottom,1,1,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,84.16257,-0.086509,5.31339,2320.545224,108.604459,9:30,5.0016,-3.73678,5.70991,-31.53435,8.83363,-21.97218,2.2928,-0.6031,76.06438,-5.948573,1.403617,0.457287,88.73479,20.422101,26.088857,3856.260319,94.78356,32.48825,55.82175,286.86364,268.22232,37.627347,3.257749,12.85493,4.91327,3.3047,50,4.97485,-10.42112,-121.668,-1.21909,19.06589,26.22144,-24.88688,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,9e61c070-1734-11f0-b3ec-b7b50aa593bb,82.42603,36.32813,,8.09819,,,,1.03594,2.20041,0.55775,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:25:20,2025-04-11T19:25:20.1400000-05:00,2025-04-12T00:25:20.1400000Z,LineDrive,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Sauve, Logan",702524,Right,WES_MOU,1a3e198c-a538-4f11-9d18-1811c2304647,54.79171,-122.69634,13.11072,5.00352,-0.24309,-12.44344,3.72805,-11.16884,9.53294,232.757995,1.03605,109.53433,-21.22374,4.64675,-0.91644,0.13406,-0.00893,-0.00096,0.00019,2.20032,45.41438,-16.13906,0.8014,-0.13056,0.05448,-0.02065,0.00465,-0.00042,0.55777,53.63422,1.14222,-0.85114,0.30131,-0.0825,0.01777,-0.00254,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2025-04-11,19:25:57,3,1,"Kirn, Griffin",822488,Left,WES_MOU,"Jackson, Riley",803578,Right,HOU_COU,Undefined,3,Bottom,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.76435,-0.079368,3.52584,2587.331918,248.224302,2:15,5.14749,-3.64972,5.06171,-40.97959,3.20323,4.69181,1.65754,0.07036,74.45225,-7.493937,4.352694,0.478408,,,,,,,,,,,,-1.38618,2.01795,3.31021,50,5.1074,-7.40765,-117.03753,-1.64391,-1.92933,21.37335,-29.36537,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,b4674390-1734-11f0-b3ec-b7b50aa593bb,78.78727,,,6.3121,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:25:57,2025-04-11T19:25:57.4530000-05:00,2025-04-12T00:25:57.4530000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Sauve, Logan",702524,Right,WES_MOU,98460d8d-eb54-43e6-8355-71a789e9beb8,55.43941,-118.02669,10.68667,5.15203,-0.28487,-14.68268,3.65097,-7.31836,-0.96466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2025-04-11,19:26:16,3,2,"Kirn, Griffin",822488,Left,WES_MOU,"Jackson, Riley",803578,Right,HOU_COU,Undefined,3,Bottom,2,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.08496,-0.868325,4.080882,2295.281468,134.167471,10:30,5.42766,-3.46549,4.93616,-18.47552,16.08241,-15.31686,3.06514,-0.87812,83.2673,-4.322593,1.389602,0.423102,,,,,,,,,,,,8.70737,8.52485,3.0811,50,5.32837,-8.73025,-133.12493,-2.69227,15.52202,30.35249,-16.97736,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,bf6438c0-1734-11f0-b3ec-b7b50aa593bb,89.08591,,,8.81766,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:26:16,2025-04-11T19:26:15.9490000-05:00,2025-04-12T00:26:15.9490000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Sauve, Logan",702524,Right,WES_MOU,48bf15a9-2ad8-4db1-bc4b-52048bdfaa38,55.56188,-134.38705,15.17625,5.42564,-1.98631,-8.48868,3.45754,-9.37569,7.76101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2025-04-11,19:26:37,3,3,"Kirn, Griffin",822488,Left,WES_MOU,"Jackson, Riley",803578,Right,HOU_COU,Undefined,3,Bottom,2,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.90809,-1.518474,4.683804,2317.706214,143.184396,10:45,5.35758,-3.33982,5.32394,-17.29623,16.71611,-11.68064,2.48613,0.09203,83.75961,-4.765558,2.62004,0.419749,,,,,,,,,,,,7.11374,9.11008,2.92365,50,5.20753,-10.337,-132.92133,-4.11898,12.7328,28.36992,-15.86805,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,cbbc5120-1734-11f0-b3ec-b7b50aa593bb,89.79759,,,8.14848,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:26:37,2025-04-11T19:26:36.6650000-05:00,2025-04-12T00:26:36.6650000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Sauve, Logan",702524,Right,WES_MOU,cd7ed352-f469-412d-acf4-11ae281c77ea,55.17533,-134.02137,14.18496,5.35531,-3.5037,-7.93403,3.33404,-10.83071,6.3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2025-04-11,19:29:08,1,1,"Schmitz, Paul",812367,Right,HOU_COU,"White, Sam",802517,Left,WES_MOU,Undefined,4,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.86966,-3.781765,-1.402153,2250.472429,197.393238,12:30,6.34794,1.2913,6.33146,-16.96962,16.33312,4.78803,1.44527,0.39888,83.46429,-6.998304,-0.53545,0.415347,78.67985,-23.351608,-5.038857,,,,,4.08277,4.08277,-9.495625,0.030032,-2.88551,9.8719,-1.19127,50,6.06354,3.03676,-131.8409,-9.19427,-5.08866,27.52122,-14.76474,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,25dde510-1735-11f0-b3ec-b7b50aa593bb,90.74918,1.37581,,7.40537,,,,0.85245,1.37581,-0.39365,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:29:08,2025-04-11T19:29:07.7680000-05:00,2025-04-12T00:29:07.7680000Z,GroundBall,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,939f0aeb-a224-4a63-bd8b-ce1a1bd4f443,54.16984,-132.70848,13.76061,6.34604,-8.72883,-7.38237,-1.28953,3.19717,-2.54433,,0.85166,105.69901,,,,,,,,1.37615,-45.81113,,,,,,,,-0.39358,-9.3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2025-04-11,19:29:44,2,1,"Schmitz, Paul",812367,Right,HOU_COU,"Kresser, Brodie",823914,Right,WES_MOU,Undefined,4,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.59971,-3.075128,-3.840248,2248.085815,199.684872,12:45,6.35677,1.25313,6.45999,-17.17076,17.15832,5.73252,2.09197,-1.80212,81.81146,-6.356752,-2.803829,0.421699,,,,,,,,,,,,-4.08433,10.18882,-0.98366,50,6.13081,8.48447,-129.78489,-7.43607,-6.94766,27.84426,-14.8423,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,3b7738e0-1735-11f0-b3ec-b7b50aa593bb,89.38232,,,7.78825,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:29:44,2025-04-11T19:29:43.9400000-05:00,2025-04-12T00:29:43.9400000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,03d2ad1b-3b08-45d6-93f5-bd8b582c46f6,54.03941,-130.64864,13.92213,6.35435,-6.97565,-7.42115,-1.2502,8.69998,-3.47383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2025-04-11,19:29:56,2,2,"Schmitz, Paul",812367,Right,HOU_COU,"Kresser, Brodie",823914,Right,WES_MOU,Undefined,4,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.47266,-4.266914,-2.073376,2109.293739,177.980827,12:00,6.21875,1.59008,6.29751,-25.08954,13.23398,-0.41803,0.18639,-0.35608,77.72578,-8.966866,-2.149012,0.445558,,,,,,,,,,,,-0.44138,8.65079,-1.43742,50,5.89233,4.49445,-123.70818,-9.9562,-0.67457,27.85603,-18.95321,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,42a042b0-1735-11f0-b3ec-b7b50aa593bb,84.59606,,,7.74689,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:29:56,2025-04-11T19:29:55.9780000-05:00,2025-04-12T00:29:55.9780000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,a578b2ab-4405-4820-af7a-95cfe2e78810,54.20206,-124.65079,13.92801,6.21838,-9.31486,-9.47661,-1.5899,4.51727,-0.33729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2025-04-11,19:30:15,2,3,"Schmitz, Paul",812367,Right,HOU_COU,"Kresser, Brodie",823914,Right,WES_MOU,Undefined,4,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.68859,-3.127807,-1.121864,2263.747857,198.287898,12:30,6.337,1.39599,6.43535,-15.50619,18.76103,5.81618,2.16686,0.84951,81.65868,-6.116476,-0.067137,0.421319,80.00783,72.579799,4.615012,,,,,,64.63221,,,-3.39508,11.11075,-1.31879,50,6.10725,2.3237,-130.16071,-7.50542,-5.78368,29.10147,-13.24623,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,4ec78710-1735-11f0-b3ec-b7b50aa593bb,89.46302,110.42001,,8.0299,,,,2.19174,2.3844,-1.82332,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:30:15,2025-04-11T19:30:15.3680000-05:00,2025-04-12T00:30:15.3680000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,47e8cad9-a4dd-4b19-b3ef-2ddd4f95e144,54.06552,-131.06653,14.55074,6.33445,-7.09312,-6.62312,-1.39392,2.50373,-2.89184,,2.19174,35.01638,-16.63325,5.862,-1.58348,0.39001,-0.08799,0.01631,-0.00181,2.3844,111.96258,-28.38331,3.18865,-0.41289,0.00883,0.01158,-0.00282,0.00012,-1.82332,2.82659,1.90425,-0.88241,0.27477,-0.07399,0.01758,-0.00319,0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2025-04-11,19:30:58,3,1,"Schmitz, Paul",812367,Right,HOU_COU,"Hussey, Grant",695555,Left,WES_MOU,Undefined,4,Top,2,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.96015,-3.472162,-3.347801,2153.506586,176.282851,12:00,6.38113,1.57952,6.13654,-24.52391,12.38201,-0.72606,1.1189,-1.57871,79.70916,-8.039752,-3.478452,0.43724,,,,,,,,,,,,-0.58744,7.77158,-1.32339,50,6.10267,7.39509,-125.93535,-8.40138,-0.94011,26.40363,-19.73651,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,677c99d0-1735-11f0-b3ec-b7b50aa593bb,86.20545,,,7.25099,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:30:58,2025-04-11T19:30:57.8430000-05:00,2025-04-12T00:30:57.8430000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,f44bc390-6dcd-40dd-8852-09f218498274,54.36431,-126.84707,13.20182,6.38101,-7.71988,-9.86825,-1.5793,7.42755,-0.47006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2025-04-11,19:31:12,3,2,"Schmitz, Paul",812367,Right,HOU_COU,"Hussey, Grant",695555,Left,WES_MOU,Undefined,4,Top,2,1,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.45439,-2.368126,-2.325551,2175.808258,164.478482,11:30,6.43692,1.40087,6.10148,-29.16553,9.08875,-2.17059,1.81322,-0.932,78.10532,-7.79098,-2.71661,0.445155,,,,,,,,,,,,0.43402,5.76941,-1.22073,50,6.23916,5.11711,-123.9466,-6.03795,0.67034,26.4363,-23.26345,HOU_COU,WES_MOU,UofHouston,D1,BIG12,20250411-UofHouston-1,726bd360-1735-11f0-b3ec-b7b50aa593bb,84.67262,,,7.34907,,,,,,,9213d888-0cbc-4f37-a1cd-4df0d56ba8dc,2025-04-12,0:31:12,2025-04-11T19:31:11.7510000-05:00,2025-04-12T00:31:11.7510000Z,,v3,3030,5327,11 April 2025 19:30-wvirginia@houston,"Jackson, Riley",803578,Right,HOU_COU,86fb4f93-31a9-4994-8648-db87e5e418d9,54.3994,-124.88141,13.21815,6.43812,-5.21533,-11.63172,-1.40125,5.09341,0.33517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
